id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
110,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,29,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.6,8,通常,立平葺,8点,19206,13310,3103320,直販,C8MA29X8
111,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,30,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,12,8,通常,立平葺,6点,18942,13134,3061080,直販,C8MA30X6
112,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,30,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,12,8,通常,立平葺,8点,19283,13376,3116520,直販,C8MA30X8
113,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,31,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.4,9.9,通常,立平葺,6点,19569,13563,3162060,直販,C8MA31X6
114,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,31,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.4,9.9,通常,立平葺,8点,19932,13816,3220800,直販,C8MA31X8
115,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,32,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.8,9.9,通常,立平葺,6点,20207,14003,3265020,直販,C8MA32X6
116,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,32,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,12.8,9.9,通常,立平葺,8点,20570,14267,3324420,直販,C8MA32X8
117,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,33,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,13.2,9.9,通常,立平葺,6点,20834,14443,3366660,直販,C8MA33X6
118,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,33,デルタ電子,H4J_220,1,H6J_240,1,7,1,1,,13.2,9.9,通常,立平葺,8点,21219,14707,3428700,直販,C8MA33X8
119,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,34,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,13.6,9.9,通常,立平葺,6点,21461,14883,3468300,直販,C8MA34X6
120,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,34,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,13.6,9.9,通常,立平葺,8点,21857,15158,3532320,直販,C8MA34X8
121,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,35,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14,9.9,通常,立平葺,6点,22099,15323,3571260,直販,C8MA35X6
122,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,35,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14,9.9,通常,立平葺,8点,22506,15598,3636600,直販,C8MA35X8
123,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,36,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.4,9.9,通常,立平葺,6点,22726,15752,3672240,直販,C8MA36X6
124,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,36,デルタ電子,H4J_220,1,H6J_240,1,8,2,1,,14.4,9.9,通常,立平葺,8点,23144,16049,3740220,直販,C8MA36X8
